id,team_id,player_id,assigned_spot,order_index
1,1,1,GK,0
2,1,5,LB,1
3,1,3,CB,2
4,1,21,CB,3
5,1,2,RB,4
6,1,6,CDM,5
7,1,7,CM,6
8,1,8,CAM,7
9,1,10,LW,8
10,1,9,RW,9
11,1,11,ST,10
12,2,12,GK,0
13,2,13,CB,1
14,2,17,CDM,2
15,2,14,CM,3
16,2,15,RW,4
17,2,16,ST,5
18,3,1,GK,0
19,3,2,RB,1
20,3,3,CB,2
21,3,21,CB,3
22,3,5,LB,4
23,3,6,CDM,5
24,3,7,CM,6
25,3,8,CAM,7
26,3,9,RW,8
27,3,10,LW,9
28,3,11,ST,10
29,4,1,GK,0
30,4,2,RB,1
31,4,3,CB,2
32,4,21,CB,3
33,4,5,LB,4
34,4,9,RW,5
35,4,7,CM,6
36,4,14,CM,7
37,4,10,LW,8
38,4,11,ST,9
39,4,16,ST,10
40,5,1,GK,0
41,5,2,RB,1
42,5,3,CB,2
43,5,21,CB,3
44,5,5,LB,4
45,5,6,CDM,5
46,5,7,CM,6
47,5,14,CM,7
48,5,8,CAM,8
49,5,9,RW,9
50,5,11,ST,10
51,6,1,GK,0
52,6,5,LB,1
53,6,3,CB,2
54,6,22,CB,3
55,6,2,RB,4
56,6,10,LW,5
57,6,7,CM,6
58,6,14,CM,7
59,6,9,RW,8
60,6,11,ST,9
61,6,16,ST,10
